Name,City,State,Type,Star_Rating,Rating,latitude,longitude,address
Forest View,Manali,Himachal Pradesh,Hotel,0.0,0.0,32.2415294,77.1888121,"Near Hadimba Palace, Mall Road, Manali"
EXCALIBUR,Kottayam,Kerala,Hotel,4.0,4.7,9.5915668,76.5221531,"HOTEL EXCALIBUR,CARITHAS JUNCTION,M.C.ROAD,THELLOKOM P O KOTTAYAM"
Discovery Village Nandi Foot Hills,Bangalore,Karnataka,Resort,1.0,3.5,13.2578980644,77.7164140844,"Near Kanive Nandishwara Temple, Nandi Foot hills, Nandi post, Nandi Hobli, Chikballapur - 562103 Karnataka India"
Fort Bridge View Homestay,Cochin,Kerala,Homestay,0.0,0.0,9.9312328,76.2673041,"Fort Bridge View Door No: 1/381, Burgar Street Cochin,kerala."
Forest Haven Resort,Munnar,Kerala,Resort,3.0,4.0,10.0407012,76.9831336,"Vattiyar P.O. Mankulam Road,Kallar, Munnar"
Dream Catcher Plantation,Munnar,Kerala,Resort,3.0,4.1,9.9971124888,77.0882727162,"Baison valley road, Tea company P O Munnar"
Dom Pedros Haven,Goa,Goa,Resort,0.0,4.0,15.3207155,73.9022469,"Near Kenilworth Hotel, before hotel Royal Orchid utorda beach road,Utorda Goa"
Ek Chidiya,Nainital,Uttarakhand,Cottage,0.0,0.0,79.6080767,29.4672426,"Nathuakhan, Nainital"
Exotic Naturals Guest House,Shimla,Himachal Pradesh,Hotel,0.0,1.0,31.1048145,77.1734033,"25, Ganj Road, Shimla Gpo,  Mahamaya Hotel  Gurdwara"
Fort Manor,Ernakulam,Kerala,Hotel,0.0,4.5,9.9312328,76.2673041,"1/508 A2, 508 A3, K.B Jacob road, Near Fort cochin Bus Stand"
Gaba Hotel,Sonipat,Haryana,Lodge,0.0,2.3,28.9937720762,77.0142041286,"Opp. Hindu College Parking, Near Gole Market, Gohana Road, Sonipat (Hr.) Mob.: 9466348483"
ELITE INN,Durg,Chhattisgarh,Hotel,2.0,3.7,21.1913742463,81.2717093155,"G041 ,Elite Inn, Maharishi Dayanand Arya Vidyalaya, Shiv Par"
Fiji Group of Houseboats,Srinagar,Jammu and Kashmir,Houseboat,0.0,0.0,34.0848310226,74.8347044495,"Boulevard Road, Gate No.7, Dal Lake,Srinagar"
Fantasy Golf Resort,Bangalore,Karnataka,Resort,3.0,3.4,13.1880116,77.6524716,"Opp ITC (Mc Donalds), New Airport Road Next to Kempegowda Bengaluru International Airport, Setigere"
Executive Comfort (Mylapore),Chennai,Tamil Nadu,Hotel,1.0,3.2,13.0338190663,80.2593426365,"9/1, Anandapuram (Near Dr. Ranga Road),Mylapore"
